site,period,metric,start_year,end_year,n_years,mean_sca,slope_per_year,slope_per_decade,ci95_low,ci95_high,ci95_low_per_decade,ci95_high_per_decade,p_value,r2,sen_slope_per_year,sen_slope_per_decade,sen_intercept,sen_ci95_low,sen_ci95_high,sen_ci95_low_per_decade,sen_ci95_high_per_decade
WLG,2002_2022,sca_raw_range,2002,2022,20,0.28025000000000055,-0.00030689075630202576,-0.0030689075630202576,-0.006834206866898667,0.006220425354294615,-0.06834206866898668,0.062204253542946154,0.9224064640782964,0.0005417642507669074,0.0007863636363635463,0.007863636363635462,-1.3059545454543646,-0.008310119047619306,0.007655492424242646,-0.08310119047619305,0.07655492424242646
ALT,2016_2022,sca_detrended_range,2016,2022,7,0.4315937345177038,0.019321428571429017,0.19321428571429017,-0.019308208924419618,0.05795106606727765,-0.19308208924419618,0.5795106606727765,0.25486107971096267,0.24847104407059983,0.0179999999999995,0.179999999999995,-35.87354912262414,-0.01080000000000042,0.0755000000000017,-0.1080000000000042,0.755000000000017
AMY,2016_2022,sca_detrended_range,2016,2022,7,0.445774501237811,0.019889045434695458,0.19889045434695457,-0.036651663173273244,0.07642975404266415,-0.3665166317327324,0.7642975404266416,0.4073231401595477,0.14054666677486782,0.017134828406381548,0.17134828406381547,-34.10529717973542,-0.07760299014609728,0.07190074753653637,-0.7760299014609728,0.7190074753653637
ASC,2016_2022,sca_detrended_range,2016,2022,7,0.16973446906195325,0.0017479393732643368,0.01747939373264337,-0.04526864930556731,0.04876452805209599,-0.4526864930556731,0.4876452805209599,0.927576706973332,0.0018232692415477425,0.006461773619473382,0.06461773619473382,-12.90861206961939,-0.09499999999999889,0.08699215092034865,-0.9499999999999889,0.8699215092034864
BHD,2016_2022,sca_detrended_range,2016,2022,5,0.15703819493051152,0.027369043321959184,0.27369043321959186,-0.007585560711800936,0.062323647355719304,-0.07585560711800936,0.623236473557193,0.08834211255509722,0.674237278060462,0.03398528158989447,0.3398528158989447,-68.42954724481295,-0.009158709389473595,0.0592577545162129,-0.09158709389473595,0.592577545162129
BRW,2016_2022,sca_detrended_range,2016,2022,7,0.5216926901601582,-0.0025357142857129816,-0.025357142857129818,-0.05867124172817175,0.053599813156745786,-0.5867124172817175,0.5359981315674579,0.9120797567525071,0.002689356265538345,0.0046666666666664485,0.04666666666666448,-8.863358528146044,-0.05006414718534913,0.05349999999999966,-0.5006414718534913,0.5349999999999966
CBA,2016_2022,sca_detrended_range,2016,2022,7,0.48234418563102516,-0.003035714285708477,-0.030357142857084768,-0.059489452757185486,0.05341802418576853,-0.5948945275718549,0.5341802418576853,0.8954537975348105,0.003806911348749109,-0.004750000000001378,-0.04750000000001378,10.073237042776668,-0.10433333333332702,0.08400000000000556,-1.0433333333332702,0.8400000000000556
CGO,2016_2022,sca_detrended_range,2016,2022,7,0.1919216852348719,0.013735771219329252,0.1373577121932925,-0.04801188287507313,0.07548342531373163,-0.4801188287507313,0.7548342531373163,0.5921863681525154,0.06138278007880116,0.010686719804703882,0.10686719804703883,-21.413898174680796,-0.09918539135378997,0.12055883096319774,-0.9918539135378996,1.2055883096319773
GMI,2016_2022,sca_detrended_range,2018,2022,5,0.27867224057850704,0.002060200482092165,0.02060200482092165,-0.14170767147284002,0.14582807243702434,-1.4170767147284002,1.4582807243702434,0.9664913002776591,0.0006927798071131308,0.011716624899569558,0.11716624899569558,-23.352901695684245,-0.14906020048207935,0.15435012530130443,-1.4906020048207935,1.5435012530130443
KUM,2016_2022,sca_detrended_range,2016,2022,7,0.29578128659782166,0.014612329844928766,0.14612329844928768,-0.031755971812424205,0.06098063150228174,-0.31755971812424205,0.6098063150228173,0.4547030983050269,0.11601976341901754,0.016799999999999215,0.16799999999999216,-33.6334369108536,-0.04264246072368157,0.0806424607236783,-0.42642460723681574,0.806424607236783
MEX,2016_2022,sca_detrended_range,2016,2022,7,0.23368432083085972,0.014820034883074663,0.14820034883074662,-0.028607070126508344,0.05824713989265767,-0.28607070126508344,0.5824713989265767,0.42049974329112594,0.13338201026171936,0.01086951218183311,0.1086951218183311,-21.727021924030552,-0.0408914634544999,0.06139472537752825,-0.408914634544999,0.6139472537752825
MHD,2016_2022,sca_detrended_range,2016,2022,7,0.3314583723843429,0.015496231460431638,0.1549623146043164,-0.0280125366606963,0.059004999581559574,-0.280125366606963,0.5900499958155957,0.4019023992787135,0.1435755636554793,0.015494724044600616,0.15494724044600616,-30.937963917067385,-0.026947240446041576,0.06647362022301448,-0.26947240446041576,0.6647362022301448
