site,year,n_months,n_quarters,first_month,last_month,usable,sca_raw_range,sca_detrended_range,sca_harmonic
NWR,2001,6,2,1,6,False,0.17499999999999716,0.1826009444151211,0.25930876014805615
NWR,2002,10,4,3,12,True,0.259999999999998,0.25049881948109487,0.2365435426422629
NWR,2003,12,4,1,12,True,0.2780000000000058,0.27039905558488186,0.21395687802284893
NWR,2004,12,4,1,12,True,0.2469999999999999,0.23559858337731754,0.22867160809192355
NWR,2005,12,4,1,12,True,0.13500000000000512,0.12359858337732277,0.1090724552162966
NWR,2006,12,4,1,12,True,0.28699999999999903,0.2793990555848751,0.22398459006024984
NWR,2007,12,4,1,12,True,0.21599999999999397,0.20839905558487004,0.13781320258717591
NWR,2008,12,4,1,12,True,0.4350000000000023,0.4445011805188983,0.4077418805416933
NWR,2009,12,4,1,12,True,0.25900000000000034,0.2513990555848693,0.200424364720134
NWR,2010,12,4,1,12,True,0.15200000000000102,0.1443990555848842,0.0684272830856128
NWR,2011,12,4,1,12,True,0.2330000000000041,0.2284014166226953,0.20547028138665452
NWR,2012,12,4,1,12,True,0.2629999999999981,0.2553990555848742,0.20503271834769024
NWR,2013,9,4,1,12,True,0.1700000000000017,0.16429929168865698,0.09362838210597539
NWR,2014,12,4,1,12,True,0.232999999999997,0.22729929168865226,0.1813197882515595
NWR,2015,12,4,1,12,True,0.23799999999999955,0.2265985833773172,0.20437296105523933
NWR,2016,12,4,1,12,True,0.2680000000000007,0.25849881948109044,0.2518091367846359
NWR,2017,12,4,1,12,True,0.24199999999999733,0.2343990555848734,0.21503284837974398
NWR,2018,12,4,1,12,True,0.2989999999999995,0.28949881948109635,0.2278237058353672
NWR,2019,9,4,1,12,True,0.37999999999999545,0.3723990555848644,0.3809982932488167
NWR,2020,12,4,1,12,True,0.35999999999999943,0.3504988194810963,0.34385684134412736
NWR,2021,12,4,1,12,True,0.23499999999999943,0.2254988194810963,0.20710221860288205
NWR,2022,12,4,1,12,True,0.3119999999999976,0.29869834727353606,0.24081759171179606
SMO,1998,12,4,1,12,True,0.22399999999999665,0.2113145632501272,0.20974014762363552
SMO,1999,12,4,1,12,True,0.10999999999999943,0.12268543674986176,0.10160458926415211
SMO,2000,12,4,1,12,True,0.09100000000000108,0.08556338425005805,0.06386862920129634
SMO,2001,2,1,1,2,False,0.0020000000000024443,0.0038122052499787173,
SMO,2002,12,4,1,12,True,0.07399999999999807,0.05962441049994993,0.06451919236836828
SMO,2003,12,4,1,12,True,0.1559999999999988,0.16687323149988487,0.16252095249982376
SMO,2004,12,4,1,12,True,0.08299999999999841,0.09206102624990109,0.06869471834602815
SMO,2005,9,3,1,9,True,0.20300000000000296,0.19393897375010027,0.18943629923043895
SMO,2006,11,4,2,12,True,0.09100000000000108,0.10368543674986341,0.0775260720269895
SMO,2007,12,4,1,12,True,0.09700000000000131,0.09156338425005828,0.04715476133144977
SMO,2008,12,4,1,12,True,0.20299999999999585,0.21206102624989853,0.19220533784551624
SMO,2009,12,4,1,12,True,0.054999999999999716,0.0713098472498217,0.04322877778732043
SMO,2010,12,4,1,12,True,0.14699999999999847,0.13793897375009578,0.1204985651434134
SMO,2011,12,4,1,12,True,0.06199999999999761,0.05012676850011388,0.042141230794500564
SMO,2012,12,4,1,12,True,0.10500000000000398,0.11406102624990666,0.08831780600421121
SMO,2013,12,4,1,12,True,0.1039999999999992,0.09856338425005617,0.057497775900326134
SMO,2014,12,4,1,12,True,0.06199999999999761,0.06924882099991692,0.03854490397261976
SMO,2015,12,4,1,12,True,0.1109999999999971,0.11643661574993303,0.042274955322929755
SMO,2016,12,4,1,12,True,0.06700000000000017,0.05131456325013062,0.024053474406853997
SMO,2017,12,4,1,12,True,0.045000000000001705,0.032624410499970224,0.020004433210761632
SMO,2018,12,4,1,12,True,0.07100000000000506,0.07824882099993147,0.06207682907939469
SMO,2019,12,4,1,12,True,0.27300000000000324,0.2585023580001504,0.2370717426974438
SMO,2020,12,4,1,12,True,0.28000000000000114,0.26369015275017205,0.26489257129163796
SMO,2021,12,4,1,12,True,0.030999999999998806,0.024563384250058107,0.011475425464589975
SMO,2022,12,4,1,12,True,0.14300000000000068,0.12306574225021905,0.08026767593100474
SPO,1998,12,4,1,12,True,0.17600000000000193,0.16309268931737364,0.15119034688425642
SPO,1999,12,4,1,12,True,0.08899999999999864,0.06871708321300218,0.03280455845117003
SPO,2000,12,4,1,12,True,0.1599999999999966,0.16553170457827093,0.07157182370691503
SPO,2001,5,2,8,12,False,0.0519999999999996,0.059375606104360656,0.08303371797658034
SPO,2002,12,4,1,12,True,0.15199999999999392,0.14278049236953905,0.13113619956337144
SPO,2003,12,4,1,12,True,0.12199999999999989,0.12937560610436094,0.1066040404043379
SPO,2004,12,4,1,12,True,0.13599999999999568,0.12493659084344699,0.12889965302506154
SPO,2005,2,1,1,2,False,0.018000000000000682,0.0198439015260945,
SPO,2006,12,4,1,12,True,0.1980000000000004,0.1850926893173721,0.16657454704408323
SPO,2007,12,4,1,12,True,0.14000000000000057,0.14737560610436162,0.10720546705647005
SPO,2008,12,4,1,12,True,0.35999999999999943,0.3673756061043605,0.2421594774666863
SPO,2009,12,4,1,12,True,0.1529999999999987,0.14378049236954382,0.13247713966594193
SPO,2010,12,4,1,12,True,0.19200000000000017,0.1809365908434586,0.183547514597208
SPO,2011,12,4,1,12,True,0.2669999999999959,0.2559365908434543,0.259340887056707
SPO,2012,12,4,1,12,True,0.13799999999999812,0.1214048862651893,0.09315338192539642
SPO,2013,12,4,1,12,True,0.16199999999999903,0.15462439389563087,0.1174956491297515
SPO,2014,12,4,1,12,True,0.21999999999999886,0.20709268931737057,0.2065426078086365
SPO,2015,12,4,1,12,True,0.10199999999999676,0.09093659084345518,0.09415257599058062
SPO,2016,12,4,1,12,True,0.11899999999999977,0.1097804923695449,0.094065160074332
SPO,2017,12,4,1,12,True,0.1600000000000037,0.1452487877912816,0.1183312171456002
SPO,2018,12,4,1,12,True,0.5159999999999982,0.5086243938956372,0.41921314806795984
SPO,2019,12,4,1,12,True,0.20000000000000284,0.20553170457827008,0.14669131162311427
